epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.104,1.52127,2.01462,1.67464,0.46511,0.38839,0.28514,0.15643,2.24955,2.59419,2.40776,0.000664216,0.000664216,0.000664216
2,259.344,1.69451,1.87874,1.76326,0.46066,0.38194,0.30052,0.15944,2.26002,2.3901,2.37842,0.00128696,0.00128696,0.00128696
3,371.76,1.74427,1.90683,1.81458,0.47432,0.38968,0.32839,0.19377,2.23326,2.48413,2.39059,0.00186571,0.00186571,0.00186571
4,491.295,1.70735,1.84712,1.79824,0.39875,0.40839,0.25266,0.11729,2.25983,2.68794,2.44307,0.001802,0.001802,0.001802
5,619.943,1.59479,1.71453,1.71264,0.45675,0.47484,0.32913,0.19103,2.14832,2.35712,2.33026,0.001736,0.001736,0.001736
6,751.011,1.59393,1.70165,1.70465,0.53965,0.45097,0.36324,0.21769,2.02866,2.16652,2.25275,0.00167,0.00167,0.00167
7,866.606,1.56732,1.67339,1.68619,0.55304,0.50323,0.3808,0.23269,1.94406,2.3583,2.16237,0.001604,0.001604,0.001604
8,980.776,1.53775,1.65733,1.66982,0.52965,0.46859,0.37636,0.23785,1.94298,2.13191,2.12867,0.001538,0.001538,0.001538
9,1094.06,1.51151,1.6099,1.63172,0.5422,0.48839,0.42102,0.26476,2.02581,2.08085,2.2395,0.001472,0.001472,0.001472
10,1220.45,1.49404,1.60377,1.63848,0.52999,0.47935,0.35354,0.21165,2.05211,2.3104,2.21514,0.001406,0.001406,0.001406
11,1350.02,1.4434,1.53692,1.59184,0.56083,0.48527,0.40159,0.25729,1.95857,2.21108,2.2197,0.00134,0.00134,0.00134
12,1479.01,1.44499,1.53453,1.59642,0.58134,0.48903,0.42269,0.2698,1.92603,2.11134,2.14638,0.001274,0.001274,0.001274
13,1608.97,1.38996,1.44947,1.55871,0.56846,0.50839,0.38779,0.24915,1.96441,2.13664,2.258,0.001208,0.001208,0.001208
14,1732.11,1.40033,1.45012,1.5582,0.59536,0.50194,0.44177,0.28621,1.90991,2.02303,2.12243,0.001142,0.001142,0.001142
15,1846.79,1.38236,1.46838,1.54605,0.57513,0.51935,0.40907,0.26835,1.86717,2.03785,2.11037,0.001076,0.001076,0.001076
16,1970.22,1.3334,1.40138,1.51483,0.57428,0.53226,0.37725,0.23463,1.87599,2.14795,2.07207,0.00101,0.00101,0.00101
17,2096.32,1.33796,1.41608,1.51694,0.59973,0.50065,0.38809,0.24492,1.88833,2.09943,2.11277,0.000944,0.000944,0.000944
18,2225.51,1.32095,1.39299,1.50337,0.57438,0.52903,0.4212,0.27028,1.8854,2.02524,2.07929,0.000878,0.000878,0.000878
19,2348.54,1.30819,1.38004,1.51054,0.59609,0.53548,0.42175,0.27781,1.81519,1.97708,2.00215,0.000812,0.000812,0.000812
20,2470.21,1.29607,1.36997,1.49882,0.5967,0.52903,0.43368,0.28652,1.87085,1.9948,2.08749,0.000746,0.000746,0.000746
21,2581.99,1.28901,1.35663,1.55952,0.60193,0.53355,0.41021,0.26343,1.89671,1.93775,2.11625,0.00068,0.00068,0.00068
22,2697.89,1.24978,1.29047,1.50681,0.61929,0.53742,0.45792,0.30681,1.80976,1.95016,2.05798,0.000614,0.000614,0.000614
23,2825.97,1.24465,1.29837,1.51765,0.60115,0.55742,0.41868,0.27513,1.81226,2.02684,2.0083,0.000548,0.000548,0.000548
24,2950.87,1.2038,1.23926,1.4835,0.60544,0.5445,0.46394,0.31436,1.78847,1.95425,2.02046,0.000482,0.000482,0.000482
25,3074.3,1.18772,1.22938,1.46777,0.62907,0.51871,0.47751,0.32292,1.80045,1.9305,2.01687,0.000416,0.000416,0.000416
26,3200.74,1.17571,1.20492,1.4555,0.62922,0.52194,0.46588,0.31255,1.78153,1.94091,1.98951,0.00035,0.00035,0.00035
27,3312.36,1.1544,1.17026,1.44394,0.61385,0.53638,0.44934,0.29914,1.7621,1.99692,1.98163,0.000284,0.000284,0.000284
28,3433.22,1.11331,1.15978,1.40813,0.64342,0.52452,0.48326,0.32299,1.79193,1.97821,2.00424,0.000218,0.000218,0.000218
29,3559.68,1.12523,1.152,1.42301,0.67004,0.48998,0.48953,0.33131,1.78303,1.91619,2.01105,0.000152,0.000152,0.000152
30,3684.84,1.10852,1.12627,1.4058,0.64341,0.50452,0.47872,0.32492,1.79277,1.98794,2.00678,8.6e-05,8.6e-05,8.6e-05
